dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
eating_norm,SSKISOMAP_closeness_centrality_p90,SSKISOMAP,closeness,90,0.9549213123499594,0.5946721999165616,0.021191138413379593,0.05910482152288772,0.16685792597685847,0.7414664700148937
eating_norm,SSKISOMAP_closeness_centrality_p100,SSKISOMAP,closeness,100,0.884502534009069,0.6842947787466487,0.2806456332913477,0.19732290712445383,0.0,0.9085072790192605
eating_norm,SSKISOMAP_eigenvector_centrality_p10,SSKISOMAP,eigenvector,10,0.7971459055748197,0.4218665631421484,0.08403356755506247,0.06137859033737414,0.08530023278478183,0.8164675794973193
eating_norm,SSKISOMAP_eigenvector_centrality_p20,SSKISOMAP,eigenvector,20,0.6509735929581218,0.3754798225795026,0.2509603575340237,0.06999317117979609,0.13719755345277304,0.5174101488252398
eating_norm,SSKISOMAP_eigenvector_centrality_p30,SSKISOMAP,eigenvector,30,0.17511336356361687,0.2166753645866749,0.5227585729081573,0.03753351350254306,0.31093157245425634,0.19249133081963804
eating_norm,SSKISOMAP_eigenvector_centrality_p40,SSKISOMAP,eigenvector,40,0.504667911443051,0.4506374193489019,0.3914568837784156,0.0648325678206409,0.03339067240800507,0.8637939286097047
eating_norm,SSKISOMAP_eigenvector_centrality_p50,SSKISOMAP,eigenvector,50,0.6795145372099227,0.4435972510006978,0.2671717877617345,0.1049280597028127,0.16203491257231614,0.880546456791594
eating_norm,SSKISOMAP_eigenvector_centrality_p60,SSKISOMAP,eigenvector,60,0.4662576687116561,0.47106878399953594,0.4297694136667579,0.10036517494330198,0.03676303687376238,0.9026825212835646
eating_norm,SSKISOMAP_eigenvector_centrality_p70,SSKISOMAP,eigenvector,70,0.5816217658042141,0.5150690457518042,0.36600258065909963,0.12362238408382656,0.16270364221776085,0.8033553298206935
eating_norm,SSKISOMAP_eigenvector_centrality_p80,SSKISOMAP,eigenvector,80,0.3863696985862897,0.45355574264006354,0.6081876933306284,0.2336154250497273,0.0612094080656266,0.8308642062138076
eating_norm,SSKISOMAP_eigenvector_centrality_p90,SSKISOMAP,eigenvector,90,0.9835956255001332,0.4076753299305408,0.12378110538869809,0.20281855915553776,0.1714583448557866,0.6198813665697409
eating_norm,SSKISOMAP_eigenvector_centrality_p100,SSKISOMAP,eigenvector,100,0.9503867698052814,0.6163106860935709,0.1520781177691779,0.17215084773346925,0.19052019430485642,0.6998455214528517
eating_norm,KISOMAP,KISOMAP,,,1.0,0.7121889083642283,0.11857078896318426,0.15546271313824517,0.17591666140605833,0.8151354937531962
eating_norm,UMAP,UMAP,,,0.8798346225660171,0.5711886142432337,0.1651733321836047,0.1539794870832316,0.16122369531307795,0.6813662866165955
eating_norm,TSNE,TSNE,,,0.987730061349693,0.7822208748415733,0.2032540804913604,0.2486290335899509,0.06536357914199208,0.8608277696053845
eating_norm,LLE,LLE,,,0.0,0.7253375372498604,0.5747446494900267,0.0,0.03102960111690701,1.0
eating_norm,SE,SE,,,0.9723926380368095,1.0,0.0,0.11110858246461161,0.015119550543623418,0.9169187946010909
eating_norm,KPCA,KPCA,,,0.8610296078954383,0.3450728198580846,0.06810279797745203,0.06493023317438862,0.19743412104798883,0.537669752963193
eating_norm,LDA,LDA,,,0.9578554281141636,0.0,1.0,1.0,1.0,0.0
eating_norm,PLS,PLS,,,0.9438516937850088,0.0850688495155466,0.8019641014277645,0.6497203780704307,0.7235890170005689,0.008160739256230317
qsar-biodeg_norm,RAW,RAW,,,0.26999231064975016,0.06149244867451094,0.9663556934168415,0.06218744619098633,0.02115277630326662,0.5446416162664124
qsar-biodeg_norm,ISOMAP,ISOMAP,,,0.23077662437524024,0.1258199162086132,0.9040023724359803,0.10593588598477909,0.024554119114786693,0.6297428292710701
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p10,SSKISOMAP,betweenness,10,0.09842368319876965,0.1525184206696574,0.0707739495549284,0.08322892205564958,0.12705504095237205,0.06372398265281139
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p20,SSKISOMAP,betweenness,20,0.22145328719723187,0.02549922769934751,0.36762789777742383,0.07482198716339493,0.39991816733882646,0.15548922784997565
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p30,SSKISOMAP,betweenness,30,0.3694732795078818,0.048013426564679905,0.7871134252147952,0.11686125526501329,0.2556101361435615,0.3692839357392358
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p40,SSKISOMAP,betweenness,40,0.0,0.09777142785730714,0.0,0.016000905121452455,0.16177068577473305,0.01515840159336889
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p50,SSKISOMAP,betweenness,50,0.03469819300269127,0.3627457240876726,0.1593946562639845,0.3515671792817261,0.04497070395031314,0.32306182868057065
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.1695501730103805,0.48708713319240576,0.16885794010645394,0.4510732171215691,0.0341413484131707,0.38562994124401706
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.09842368319876965,0.11322466947520492,0.6139676287941596,0.11884651119034309,0.09617935096624776,0.3355130902615016
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.07535563244905782,0.48737590979236306,0.1723688202763616,0.47378118700642224,0.03305015007046647,0.3974341007291986
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p90,SSKISOMAP,betweenness,90,0.5406574394463671,0.15308093839665216,0.6859582274829122,0.3720881976219244,0.10559286263691646,0.15505523677474697
qsar-biodeg_norm,SSKISOMAP_betweenness_centrality_p100,SSKISOMAP,betweenness,100,0.042387543252595396,0.1449499178355274,0.018894171459722196,0.10398427927828006,0.1269318742012516,0.05273858027676326
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p10,SSKISOMAP,degree,10,0.1111111111111111,0.1552321133435202,0.07118595857321354,0.16363579162512906,0.11467767743701145,0.03094121980657084
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p20,SSKISOMAP,degree,20,0.4709727028066129,0.19389237155522587,0.5264779612059346,0.35192999908381717,0.07966904538301761,0.09735311658054788
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p30,SSKISOMAP,degree,30,9.611687812379487e-05,0.025236627448519726,0.21587432845342175,0.17901285036450304,0.3819772384408163,0.09440796169427483
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p40,SSKISOMAP,degree,40,0.18608227604767377,0.17024762824722367,0.8117362545218727,0.09003420304207346,0.0,0.5448431040487955
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p50,SSKISOMAP,degree,50,0.0024029219530948714,0.043581245444692426,0.17225458148196496,0.1999159847795912,0.28333702009403394,0.20424968949240965
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p60,SSKISOMAP,degree,60,0.09842368319876965,0.043648677077459536,0.5351169287249979,0.043104104178865905,0.28942183469758087,0.42593327999851094
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p70,SSKISOMAP,degree,70,0.018838908112264324,0.3067673619371791,0.2030532310517327,0.3911815913579651,0.05299459938183967,0.4233656926137822
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p80,SSKISOMAP,degree,80,0.027777777777777513,0.12372837475795348,0.11651229626668236,0.0019430242015901504,0.10267055560032182,0.08226056717648861
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p90,SSKISOMAP,degree,90,0.5847750865051903,0.4993588904982611,0.7092562804260271,0.42942124319403724,0.0168197315290738,0.4650932656385509
qsar-biodeg_norm,SSKISOMAP_degree_centrality_p100,SSKISOMAP,degree,100,0.06497500961168798,0.2313763847960194,0.5093203433568482,0.11433622114260125,0.050345780754576346,0.4284570356832272
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p10,SSKISOMAP,closeness,10,0.41868512110726636,0.3269074073266694,0.6090466571666487,0.2268692856203942,0.05048980316802765,0.3328638714990719
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p20,SSKISOMAP,closeness,20,0.4845251826220688,0.29823932824834876,0.7741932572991593,0.2725472775324413,0.03627404475393244,0.37318777565962075
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p30,SSKISOMAP,closeness,30,0.4709727028066129,0.2783606983675654,0.8089814112121876,0.2502876150360322,0.03412245576542852,0.435741783095703
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p40,SSKISOMAP,closeness,40,0.6151480199923111,0.18936858087601005,0.8599467603883374,0.4475883503587638,0.09731015727510293,0.43967583995385473
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p50,SSKISOMAP,closeness,50,0.45761245674740514,0.3163027364984147,0.8753577968506215,0.23014501656863462,0.01893182345052988,0.5548373559932864
qsar-biodeg_norm,SSKISOMAP_closeness_centrality_p60,SSKISOMAP,closeness,60,0.046520569011918304,0.062216420243697876,0.391226317703984,0.06811065741095489,0.1922760204745893,0.2747035226267997
