dataset,method,base_method,centrality,proportion,ri,ch,fm,v,dbs,ss
eating_norm,SSKISOMAP_eigenvector_centrality_p30,SSKISOMAP,eigenvector,30,0.9499486945616231,0.4139410624798107,0.12276713135110993,0.1677374882061862,0.14249405804735163,0.5986202903360232
eating_norm,SSKISOMAP_eigenvector_centrality_p40,SSKISOMAP,eigenvector,40,0.8241933644966362,0.34124369160182544,0.09758778481447787,0.04829278053142452,0.2221492399734115,0.6103139073113837
eating_norm,SSKISOMAP_eigenvector_centrality_p50,SSKISOMAP,eigenvector,50,0.7535058716223917,0.3036933635301759,0.22040297448004062,0.052255251019822806,0.13609016627673418,0.6253212126683783
eating_norm,SSKISOMAP_eigenvector_centrality_p60,SSKISOMAP,eigenvector,60,0.8570288450575756,0.6364084051524579,0.09793894524454998,0.04587092624508175,0.09186612774813098,0.8265408157919886
eating_norm,SSKISOMAP_eigenvector_centrality_p70,SSKISOMAP,eigenvector,70,0.8891802531068288,0.5464991390916181,0.00836217318661009,0.031537283005220164,0.14724236146211692,0.8185827720533112
eating_norm,SSKISOMAP_eigenvector_centrality_p80,SSKISOMAP,eigenvector,80,0.7479192794436209,0.7207695598363607,0.32062655712964727,0.15775418689991694,0.09883058017597521,0.9187520718576297
eating_norm,SSKISOMAP_eigenvector_centrality_p90,SSKISOMAP,eigenvector,90,0.7743700832288223,0.6525746585524878,0.2555572076821959,0.10217684339308214,0.06734272223098389,0.8676981169012594
eating_norm,SSKISOMAP_eigenvector_centrality_p100,SSKISOMAP,eigenvector,100,0.8778930566640063,1.0,0.29014231892227405,0.24718310501095242,0.05678088097530829,0.9765221251246449
eating_norm,KISOMAP,KISOMAP,,,0.9891688518983006,0.48138745545005956,0.2228423874595207,0.211919156283656,0.21220083868442963,0.62785062888435
eating_norm,UMAP,UMAP,,,1.0,0.6539123398048754,0.5122486774528777,0.5030238579603677,0.12579682633413866,0.6200042423193638
eating_norm,TSNE,TSNE,,,0.994185383650667,0.5695812535899307,0.4111580453607769,0.46394821503796513,0.10488421115942849,0.7154980496484779
eating_norm,LLE,LLE,,,0.0,0.5525576193222759,0.706678232910121,0.006471917677190723,0.06588492436834306,0.8461263075235711
eating_norm,SE,SE,,,0.9704708699122104,0.7080691469967474,0.0,0.12847981210377513,0.09392611736097452,0.7038751359463703
eating_norm,KPCA,KPCA,,,0.8745867061908558,0.24974322794506731,0.0674437670065926,0.08240588704438125,0.1998832320062875,0.42219522471714094
eating_norm,LDA,LDA,,,0.9597537338957929,0.0,1.0,1.0,0.7245372295558992,0.0
eating_norm,PLS,PLS,,,0.8921445673241359,0.060311196746578526,0.5940259933174986,0.4580844436750253,0.5423070422658054,0.11757218742016204
hayes-roth_norm,RAW,RAW,,,0.05760000000000013,0.0,0.02660858546507921,0.05911730585732498,1.0,0.0
hayes-roth_norm,ISOMAP,ISOMAP,,,0.05760000000000013,0.11978570598634929,0.02389124044148192,0.05115014105806139,0.4780946114582089,0.3250422528965181
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p10,SSKISOMAP,betweenness,10,0.001599999999999769,0.1473815353176586,0.004108607439756867,0.004822188912188689,0.4147706046008493,0.3792381055096574
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p20,SSKISOMAP,betweenness,20,0.05760000000000013,0.18040556150771664,0.02389124044148192,0.043904545149049096,0.4135911448001019,0.41980316611506413
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p30,SSKISOMAP,betweenness,30,0.12959999999999972,0.18287347178113858,0.06096752988834811,0.1308562022754127,0.38078895012104325,0.43122224098723155
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p40,SSKISOMAP,betweenness,40,0.5183999999999996,0.1498127269006496,0.26665501985812873,0.3284652898444716,0.4239114638789686,0.3712081280751385
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p50,SSKISOMAP,betweenness,50,0.014400000000000225,0.12532607424161765,0.0532124482243456,0.00010241705512837729,0.48742326248282547,0.35351687298518625
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p60,SSKISOMAP,betweenness,60,0.014400000000000225,0.13467063568958546,0.0532124482243456,0.00010241705512837729,0.46580168889800316,0.38261395351280414
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p70,SSKISOMAP,betweenness,70,0.27039999999999936,0.2209362610219376,0.11957046340962578,0.20854447558407907,0.3535783994773023,0.4659495629233396
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p80,SSKISOMAP,betweenness,80,0.025600000000000143,0.138124914522122,0.009651686367945108,0.023542734444940098,0.4477194793858138,0.37448949515092966
hayes-roth_norm,SSKISOMAP_betweenness_centrality_p90,SSKISOMAP,betweenness,90,0.001599999999999769,0.1927331529534444,0.10781073107434554,0.014035428178101638,0.33041022943063203,0.4613738638166779
